nom;idparking;commune;insee;proprietaire;parkingtempsreel;capacite;capacite2rm;capacitevelo;capaciteautopartage;capacitepmr;usage;vocation;reglementation;fermeture
Gare de Tassin;P92;Tassin-la-Demi-Lune;69244;RFF;False;60;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h
Gare d'Albigny-Neuville;P70;Albigny-sur-Saône;69003;RFF;False;180;6;16;0;2;Libre;;Gratuit;Ouvert 24h/24h
Cimetière;P324;Feyzin;69276;COMMUNE;False;45;;;;1;Libre;Evènementielle;Gratuit;Ouvert 24h/24h
Saône;P443;Neuville-sur-Saône;69143;GRAND LYON;False;125;0;0;0;0;Horaire;Mixte;Gratuit;Ouvert 24h/24h
Ste Consorce - Rue des Monts;P951;;;COMMUNE;False;8;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h
Paul Barbusse;P595;Vénissieux;69259;GRAND LYON;False;16;0;0;0;2;Libre;Mixte;Gratuit;Marché
Crêche;P9010;Meyzieu;69282;;;;;;;;;;;
Voie verte;P546;Caluire-et-Cuire;69034;SNCF;False;105;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h
Levée;P773;Genay;69278;GRAND LYON;False;10;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h
Alexandra;P644;Décines-Charpieu;69275;;False;56;0;0;0;1;Libre;Mixte;Gratuit;
Curtil;P297;Craponne;69069;GRAND LYON;False;19;0;0;0;1;Libre;Commerciale;Zone bleue;Ouvert 24h/24h
Himbert;P269;Chassieu;69271;COMMUNE;False;19;0;0;0;1;Libre;Commerciale;Zone bleue;Ouvert 24h/24h
La Source;P430;Saint-Cyr-au-Mont-d'Or;69191;;False;30;0;0;0;0;Libre;Evènementielle;Gratuit;Ouvert 24h/24h
Boulodrome du Paillet;P580;Dardilly;69072;COMMUNE;False;27;0;0;0;1;Libre;Evènementielle;Gratuit;Ouvert 24h/24h
Gadagne / Foch;P932;Saint-Genis-Laval;69204;;False;43;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h
Square de la République;P1048;Chassieu;69271;GRAND LYON;False;11;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h
Gare de Beynost;P1078;;;;False;60;;;0;;Libre;Mixte;Gratuit;Ouvert 24h/24h
Gare de la Part-Dieu;P143;Lyon 3e Arrondissement;69383;;False;302;22;0;0;0;Réservé abonnés;Commerciale;;Ouvert 24h/24h
Parking Bourse;P7;Lyon 2e Arrondissement;69382;GRAND LYON;True;500;47;0;;;Réservé abonnés;;Payant;Ouvert 24h/24h
Vourles - Maison forte;P986;;;;False;20;;;;;Libre;;Gratuit;Ouvert 24h/24h
Ecole;P608;Poleymieux-au-Mont-d'Or;69153;COMMUNE;False;28;0;0;0;1;Libre;;Gratuit;Ouvert 24h/24h
Place des Platanes;P250;Charbonnières-les-Bains;69044;COMMUNE;False;22;0;0;0;1;Libre;Mixte;Gratuit;Ouvert 24h/24h
Proulieu;P406;Genay;69278;GRAND LYON;False;11;0;0;0;1;Libre;Résidentielle;Gratuit;Ouvert 24h/24h
Guy Raffin;P634;Grigny;69096;GRAND LYON;False;14;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h
Stade Moulin Carron;P581;Dardilly;69072;COMMUNE;False;40;3;2;0;1;Libre;Evènementielle;Gratuit;Ouvert 24h/24h
Place Louis Pradel;P732;Saint-Didier-au-Mont-d'Or;69194;GRAND LYON;False;52;0;0;0;1;Libre;Commerciale;Zone bleue;Marché
Dunand;P905;Irigny;69100;COMMUNE;False;25;0;0;0;1;Libre;;Gratuit;Ouvert 24h/24h
Chapeau Rouge;P891;Lyon 9e Arrondissement;69389;GRAND LYON;False;8;0;0;0;0;Horaire;Mixte;Payant;Ouvert 24h/24h
Agora 2;P703;Jonage;69279;GRAND LYON;False;170;0;10;0;4;Libre;Evènementielle;Gratuit;Ouvert 24h/24h
Clos Cassandra;P373;Sathonay-Village;69293;GRAND LYON;False;12;0;8;0;1;Libre;Résidentielle;Gratuit;Ouvert 24h/24h
Bords de Saône;P613;Rochetaillée-sur-Saône;69168;VNF;False;40;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h
Le Fort;P938;Saint-Priest;69290;GRAND LYON;False;20;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h
La Bressonnière;P244;Charbonnières-les-Bains;69044;COMMUNE;False;40;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h
St Genis;P771;Saint-Genis-les-Ollières;69205;GRAND LYON;False;5;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h
Parking Ney;P934;Lyon 6e Arrondissement;69386;LPA;True;160;0;0;;;Réservé abonnés;Mixte;Payant;Ouvert 24h/24h
Parking Université;P590;Bron;69029;ETAT;False;300;0;0;0;15;Libre;;Gratuit;Ouvert 24h/24h
Parking Terreaux;P2;Lyon 1er Arrondissement;69381;GRAND LYON;True;641;174;118;6;;Mixte;Mixte;Payant;Ouvert 24h/24h
Place Franklin Roosevelt;P266;Chassieu;69271;GRAND LYON;False;90;0;0;0;1;Libre;Mixte;Gratuit;Ouvert 24h/24h
Angle Dauphiné-Aquitaine;P536;Meyzieu;69282;GRAND LYON;False;30;0;0;0;1;Libre;Mixte;Gratuit;Ouvert 24h/24h
Paillet;P310;Dardilly;69072;COMMUNE;False;34;0;0;0;0;Libre;Evènementielle;Gratuit;Ouvert 24h/24h
Saint-Paul (Voûtes SNCF);P118;Lyon 5e Arrondissement;69385;Particulier;False;120;0;0;0;0;Réservé abonnés;Résidentielle;Payant;Ouvert 24h/24h
Gare de Montluel;P1079;;;;False;155;;;0;4;Libre;Mixte;Gratuit;Ouvert 24h/24h
Les Trois Orangers;P360;Francheville;69089;GRAND LYON;False;89;0;0;0;4;Libre;Mixte;Gratuit;Ouvert 24h/24h
SMIRIL;P821;Grigny;69096;PRIVE;False;22;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h
Péage;P393;Genay;69278;APRR;False;30;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h
Provinces;P963;Sainte-Foy-lès-Lyon;69202;;False;25;0;0;0;1;Libre;Mixte;Gratuit;Ouvert 24h/24h
Place Henri Barbusse;P632;Grigny;69096;GRAND LYON;False;16;0;0;0;2;Libre;Mixte;Gratuit;Ouvert 24h/24h
Pré de l'Herpe;P1010;Vaulx-en-Velin;69256;GRAND LYON;False;84;0;0;0;3;Horaire;Mixte;Gratuit;Ouvert 24h/24h
Ternay - Parking du Mur peint;P942;;;;False;;;;;;Libre;;Gratuit;Ouvert 24h/24h
Hippodrome;P212;Bron;69029;CG69;False;240;0;10;0;5;Libre;Evènementielle;Gratuit;Ouvert 24h/24h
Rue P. Pays - Rhodia;P159;Collonges-au-Mont-d'Or;69063;PRIVE;False;40;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h
La Croisée des Ormes;P433;Saint-Cyr-au-Mont-d'Or;69191;GRAND LYON;False;5;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h
Pré aux taureaux;P924;Francheville;69089;COMMUNE;False;41;0;0;0;1;Libre;Résidentielle;Gratuit;Ouvert 24h/24h
7 chemins;P1031;Chassieu;69271;GRAND LYON;False;6;0;0;0;1;Mixte;Commerciale;Gratuit;Ouvert 24h/24h
P+R Feyssine;P57;Villeurbanne;69266;SYTRAL;False;80;0;0;0;0;Libre;;Gratuit;Nuit
Edouard Herriot;P550;Caluire-et-Cuire;69034;GRAND LYON;False;20;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h
Centre sportif 2;P889;Lyon 9e Arrondissement;69389;GRAND LYON;False;120;0;0;0;0;Libre;Evènementielle;Gratuit;Ouvert 24h/24h
Schmidt;P874;Villeurbanne;69266;GRAND LYON;False;190;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h
T3 (arrêt ZI);P9015;Meyzieu;69282;;;;;;;;;;;
Fayolle;P438;Saint-Cyr-au-Mont-d'Or;69191;GRAND LYON;False;10;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h
St Germain - Gare;P9004;Saint-Germain-au-Mont-d'Or;69207;;;;;;;;;;;
Avenue de la gare;P794;Fontaines-sur-Saône;69088;SNCF;False;40;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h
Place Leclerc;P846;La Mulatière;69142;GRAND LYON;False;14;0;0;0;1;Libre;Mixte;Gratuit;Ouvert 24h/24h
Gare de Givors Ville;P80;Givors;69091;RFF;False;188;0;0;0;7;Libre;;Gratuit;Ouvert 24h/24h
Francfort-Gare (Q Park);P115;Lyon 3e Arrondissement;69383;PRIVE;False;361;0;0;0;8;Mixte;Mixte;Payant;Ouvert 24h/24h
Saint Laurent;P960;Quincieux;69163;;False;40;0;0;0;1;Libre;;Gratuit;Ouvert 24h/24h
Berthelot;P631;Grigny;69096;GRAND LYON;False;25;0;0;0;1;Libre;Mixte;Gratuit;Ouvert 24h/24h
Charles de Gaulle;P927;Grigny;69096;COMMUNE;False;25;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h
Poizat;P518;Saint-Genis-les-Ollières;69205;GRAND LYON;False;6;0;0;0;1;Libre;Mixte;Gratuit;Ouvert 24h/24h
Gare de Saint Romain de Popey;P1067;;;;False;40;;;0;1;Libre;Mixte;Gratuit;Ouvert 24h/24h
Poste;P341;Oullins;69149;GRAND LYON;False;29;;;;1;Libre;Mixte;Gratuit;Ouvert 24h/24h
Cimetière;P308;Dardilly;69072;COMMUNE;False;50;0;0;0;1;Libre;Evènementielle;Gratuit;Ouvert 24h/24h
Square Cardinal;P476;Vernaison;69260;COMMUNE;False;24;0;0;0;2;Libre;Mixte;Gratuit;Ouvert 24h/24h
Maison de retraite;P275;Collonges-au-Mont-d'Or;69063;GRAND LYON;False;20;;;;;Libre;;Gratuit;Ouvert 24h/24h
Place Elie Guillon;P202;Albigny-sur-Saône;69003;COMMUNE;False;15;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h
Bert Macé;P662;Décines-Charpieu;69275;;False;7;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h
Valvert;P484;Tassin-la-Demi-Lune;69244;GRAND LYON;False;77;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h
Place de la Tour;P277;Collonges-au-Mont-d'Or;69063;GRAND LYON;False;8;;;;2;Libre;Commerciale;Zone bleue;Ouvert 24h/24h
Groupe scolaire Jacques Prévert;P567;Corbas;69273;COMMUNE;False;66;0;0;0;1;Libre;Mixte;Gratuit;Ouvert 24h/24h
Martyrs;P688;Saint-Genis-Laval;69204;GRAND LYON;False;8;0;0;0;0;Libre;Commerciale;Zone bleue;Ouvert 24h/24h
Marché Bourg;P478;Tassin-la-Demi-Lune;69244;GRAND LYON;False;17;1;6;0;0;Libre;Commerciale;Payant;Marché
Entrée gare;P803;Grigny;69096;GRAND LYON;False;9;0;0;0;1;Libre;;Gratuit;Ouvert 24h/24h
Fabien Roussel;P804;Grigny;69096;GRAND LYON;False;6;0;0;0;0;Libre;Résidentielle;Gratuit;Ouvert 24h/24h
P+R St-Genis Gadagne;P764;Saint-Genis-Laval;69204;;True;40;0;0;0;2;Libre;;Gratuit;Nuit
Place du 8 mai 1945;P901;Fontaines-Saint-Martin;69087;COMMUNE;False;26;0;0;0;1;Mixte;Mixte;Zone bleue;Ouvert 24h/24h
Gare de Sain Bel;P1064;;;;False;120;;;0;1;Libre;Mixte;Gratuit;Ouvert 24h/24h
Charles de Gaulle;P460;Neuville-sur-Saône;69143;GRAND LYON;False;50;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h
Place de la Mairie;P495;La Tour-de-Salvagny;69250;GRAND LYON;False;36;0;18;0;2;Libre;Mixte;Gratuit;Ouvert 24h/24h
Lissieu centre;P768;Lissieu;69117;COMMUNE;False;100;0;0;0;2;Libre;Mixte;Gratuit;Ouvert 24h/24h
Square Grimaud;P587;Bron;69029;COMMUNE;False;28;0;0;0;4;Libre;Commerciale;Zone bleue;Ouvert 24h/24h
Tribunes (graviers);P505;La Tour-de-Salvagny;69250;COMMUNE;False;150;0;0;0;0;Libre;Evènementielle;Gratuit;Ouvert 24h/24h
Place de la Liberté;P288;Couzon-au-Mont-d'Or;69068;GRAND LYON;False;30;0;0;0;0;Libre;Mixte;Gratuit;Marché
Maison des Sociétés;P655;Décines-Charpieu;69275;;False;19;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h
Tatière;P444;Neuville-sur-Saône;69143;COMMUNE;False;31;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h
Halle des Sports (contre allée);P211;Bron;69029;;False;130;0;10;0;2;Libre;;Gratuit;Ouvert 24h/24h
Place de la Croix Rousse;P722;Lyon 4e Arrondissement;69384;GRAND LYON;False;50;0;0;0;0;Horaire;Mixte;Payant;Marché
Rue Châtelain;P984;Sainte-Foy-lès-Lyon;69202;GRAND LYON;False;5;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h
Chapas;P887;Lyon 9e Arrondissement;69389;SACVL;False;140;0;0;0;0;Libre;Résidentielle;Gratuit;Ouvert 24h/24h
Parking Saint Antoine;P14;Lyon 2e Arrondissement;69382;GRAND LYON;True;812;0;0;3;;Mixte;;Payant;Ouvert 24h/24h
Ecole;P956;Quincieux;69163;;False;50;0;0;0;1;Libre;;Gratuit;Ouvert 24h/24h
Misery Alaï;P483;Tassin-la-Demi-Lune;69244;GRAND LYON;False;15;0;0;0;0;Libre;Mixte;Payant;Marché
Sud du Mas;P1091;Vaulx-en-Velin;69256;PRIVE;False;100;;;0;3;Libre;Mixte;Gratuit;Ouvert 24h/24h
Place des 3 renards;P486;Tassin-la-Demi-Lune;69244;GRAND LYON;False;18;0;0;0;1;Libre;Mixte;Gratuit;Ouvert 24h/24h
Charles de Gaulle B;P814;Grigny;69096;GRAND LYON;False;11;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h
Charles de Gaulle;P879;Irigny;69100;GRAND LYON;False;9;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h
Place Pierre Puget;P881;Lyon 9e Arrondissement;69389;GRAND LYON;False;25;0;0;0;0;Libre;Résidentielle;Gratuit;Ouvert 24h/24h
P+R Grézieu la Varenne;P67;;;SYTRAL;False;69;0;0;0;2;Contrôle d'accès;Mixte;Gratuit;Ouvert 24h/24h
Horloge;P477;Tassin-la-Demi-Lune;69244;SYTRAL;False;105;0;0;0;3;Horaire;Commerciale;Payant;Ouvert 24h/24h
Venissy;P351;Vénissieux;69259;COMMUNE;False;25;0;0;0;1;Libre;;Gratuit;Ouvert 24h/24h
Parking provisoire Parc L. Dupie;P350;Vénissieux;69259;GRAND LYON;False;22;0;0;0;0;Libre;Commerciale;Zone bleue;Ouvert 24h/24h
Libération;P638;Grigny;69096;GRAND LYON;False;30;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h
Place François Mitterrand sud;P647;Décines-Charpieu;69275;GRAND LYON;False;21;0;8;0;0;Libre;Mixte;Zone bleue;Ouvert 24h/24h
Fort du Bruissin;P511;Francheville;69089;COMMUNE;False;70;0;0;0;2;Libre;Evènementielle;Gratuit;Ouvert 24h/24h
Servanin;P812;Grigny;69096;GRAND LYON;False;20;0;0;0;2;Libre;;Gratuit;Ouvert 24h/24h
Centre nautique;P271;Chassieu;69271;GRAND LYON;False;88;0;0;0;2;Libre;;Gratuit;Nuit
Lafayette-Corneille;P112;Lyon 3e Arrondissement;69383;Particulier;False;350;30;10;0;2;Mixte;Mixte;Payant;Ouvert 24h/24h
Place d'Albon;P711;Lyon 1er Arrondissement;69381;GRAND LYON;False;16;0;0;0;0;Horaire;Mixte;Payant;Ouvert 24h/24h
Place des Minimes;P747;Lyon 5e Arrondissement;69385;GRAND LYON;False;25;3;0;0;1;Libre;Mixte;Gratuit;Ouvert 24h/24h
Place du Château;P719;Lyon 3e Arrondissement;69383;GRAND LYON;False;55;0;0;0;0;Libre;Mixte;Gratuit;Marché
Parking du centre;P918;Limonest;69116;;False;40;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h
Gare de Sathonay-Rillieux;P91;Sathonay-Camp;69292;RFF;False;110;0;8;0;1;Libre;;Gratuit;Ouvert 24h/24h
P+R Cuire;P41;Caluire-et-Cuire;69034;SYTRAL;True;80;0;0;0;2;Réservé abonnés;;Gratuit;Nuit
Pollionay Valency;P969;;;COMMUNE;False;6;0;0;0;;Libre;;Gratuit;Ouvert 24h/24h
Villeneuve;P320;Écully;69081;COMMUNE;False;28;;;;;Libre;;Gratuit;Ouvert 24h/24h
Ecole - Salle d'activité;P492;La Tour-de-Salvagny;69250;COMMUNE;False;25;0;6;0;1;Libre;Mixte;Gratuit;Ouvert 24h/24h
Chemin du Penthod;P228;Caluire-et-Cuire;69034;GRAND LYON;False;121;0;0;0;7;Horaire;Commerciale;Payant;Ouvert 24h/24h
Marennes;P922;Corbas;69273;GRAND LYON;False;25;;;;;Libre;;Gratuit;Ouvert 24h/24h
Gare de Crépieux-la-Pape;P87;Rillieux-la-Pape;69286;RFF;False;12;0;4;0;0;Libre;;Gratuit;Ouvert 24h/24h
Square Fleury Patton;P531;Meyzieu;69282;COMMUNE;False;30;0;5;0;1;Libre;Commerciale;Zone bleue;Ouvert 24h/24h
Place des Rendez-Vous;P799;Fontaines-sur-Saône;69088;COMMUNE;False;70;0;0;0;2;Horaire;Mixte;Payant;Ouvert 24h/24h
Frison Roche;P423;Saint-Fons;69199;COMMUNE;False;42;0;0;0;2;Libre;Evènementielle;Gratuit;Ouvert 24h/24h
Poste Rancé;P383;Genay;69278;GRAND LYON;False;50;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h
Jean-Jacques Rousseau;P861;Saint-Priest;69290;GRAND LYON;False;23;0;0;0;2;Libre;Mixte;Gratuit;Ouvert 24h/24h
Parking 1;P223;Cailloux-sur-Fontaines;69033;COMMUNE;False;30;;;;0;Libre;;Gratuit;Ouvert 24h/24h
Ecole Soupault;P305;Craponne;69069;COMMUNE;False;28;0;0;0;1;Libre;;Gratuit;Ouvert 24h/24h
Deperet Alaï;P482;Tassin-la-Demi-Lune;69244;GRAND LYON;False;9;0;2;0;1;Horaire;Commerciale;Payant;Ouvert 24h/24h
Square du Midi;P557;Corbas;69273;GRAND LYON;False;25;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h
Golf Blue Green Grand Lyon Chassieu;P1033;Chassieu;69271;GRAND LYON;False;156;0;0;0;4;Libre;Mixte;Gratuit;Ouvert 24h/24h
Place Mathieu Jaboulay;P686;Saint-Genis-Laval;69204;GRAND LYON;False;26;;;;2;Horaire;Mixte;Payant;Ouvert 24h/24h
Groupe scolaire Pasteur;P779;Mions;69283;COMMUNE;False;25;0;4;0;1;Libre;;Gratuit;Ouvert 24h/24h
Bruyas;P643;Décines-Charpieu;69275;;False;19;0;0;0;1;Libre;Commerciale;Zone bleue;Ouvert 24h/24h
Cimetière;P955;Quincieux;69163;COMMUNE;False;30;0;0;0;2;Libre;Evènementielle;Gratuit;Ouvert 24h/24h
Ecole G. Brassens;P397;Feyzin;69276;COMMUNE;False;44;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h
Place de la Mairie;P239;Champagne-au-Mont-d'Or;69040;GRAND LYON;False;15;0;4;0;1;Libre;Mixte;Gratuit;Ouvert 24h/24h
Place Ringsheim;P619;Albigny-sur-Saône;69003;COMMUNE;False;23;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h
CC de Champvert;P120;Lyon 5e Arrondissement;69385;ATAC;False;190;;;;4;Libre;Commerciale;Gratuit;Ouvert 24h/24h
Hôtel de Ville;P1011;Vaulx-en-Velin;69256;;False;206;0;0;0;7;Libre;Mixte;Gratuit;Ouvert 24h/24h
Gare de Chatillon d'Azergues;P1068;;;;False;55;;;0;3;Libre;Mixte;Gratuit;Ouvert 24h/24h
Paul Teste;P1026;Vaulx-en-Velin;69256;GRAND LYON;False;26;0;0;0;2;Libre;Mixte;Gratuit;Ouvert 24h/24h
Gare de Feyzin;P96;Feyzin;69276;GRAND LYON;False;58;0;8;0;1;Libre;;Gratuit;Ouvert 24h/24h
Les Serres;P831;Chassieu;69271;GRAND LYON;False;23;0;0;0;3;Libre;Mixte;Gratuit;Ouvert 24h/24h
Place Claudia Carteron;P527;Meyzieu;69282;GRAND LYON;False;32;0;0;0;2;Libre;Mixte;Gratuit;Ouvert 24h/24h
Sathonay;P966;Sathonay-Village;69293;;False;3;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h
Gare de Genay;P774;Genay;69278;GRAND LYON;False;10;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h
Route Chasselay;P959;Quincieux;69163;;False;11;0;0;0;0;Libre;;Gratuit;Ouvert 24h/24h
Gare de Saint André de Corcy;P1074;;;;False;80;;;0;;Libre;Mixte;Gratuit;Ouvert 24h/24h
La Poste;P466;Vernaison;69260;COMMUNE;False;9;0;0;0;0;Libre;Commerciale;Zone bleue;Ouvert 24h/24h
Mairie;P759;Montanay;69284;GRAND LYON;False;40;0;0;0;1;Libre;Mixte;Gratuit;Ouvert 24h/24h
Halte Ferroviaire de La Tour-de-Salvagny;P84;La Tour-de-Salvagny;69250;RFF;False;40;0;8;0;0;Libre;;Gratuit;Ouvert 24h/24h
Caserne;P407;Genay;69278;GRAND LYON;False;4;0;0;0;0;Libre;Résidentielle;Gratuit;Ouvert 24h/24h
Dolet;P428;Saint-Fons;69199;GRAND LYON;False;17;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h
Hôpital Croix-Rousse;P100;Caluire-et-Cuire;69034;HCL;False;500;;;;;;;Gratuit;
Parking Cité Internationale P0;P123;Lyon 6e Arrondissement;69386;LPA;False;954;20;20;;;Mixte;Mixte;Payant;Ouvert 24h/24h
Gambetta;P366;Saint-Cyr-au-Mont-d'Or;69191;;False;23;0;0;0;1;Libre;;Gratuit;Ouvert 24h/24h
Château;P863;Saint-Priest;69290;GRAND LYON;False;47;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h
Yzeron - Petit pré;P980;;;COMMUNE;False;40;;;;;Libre;;Gratuit;Ouvert 24h/24h
Pharmacie;P695;Jonage;69279;COMMUNE;False;6;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h
Cimetière funérarium;P992;Rillieux-la-Pape;69286;GRAND LYON;False;37;0;0;0;2;Libre;Evènementielle;Gratuit;Ouvert 24h/24h
Hôpital Edouard Herriot;P113;Lyon 3e Arrondissement;69383;HCL;False;350;;;;;;;Gratuit;
Complexe sportif des Taillis;P280;Corbas;69273;GRAND LYON;False;166;0;6;;2;Libre;Evènementielle;Gratuit;Ouvert 24h/24h
Place Jean Moulin;P839;La Mulatière;69142;GRAND LYON;False;80;0;4;0;1;Libre;;Gratuit;Ouvert 24h/24h
Place Roger Matray;P542;Meyzieu;69282;GRAND LYON;False;132;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h
Cimetière;P392;Genay;69278;COMMUNE;False;8;0;0;0;0;;Evènementielle;Gratuit;Ouvert 24h/24h
Parking Cordeliers;P9;Lyon 2e Arrondissement;69382;GRAND LYON;True;778;11;84;4;;Mixte;Mixte;Payant;Ouvert 24h/24h
Parking 2;P224;Cailloux-sur-Fontaines;69033;COMMUNE;False;30;;;;0;Libre;;Gratuit;Ouvert 24h/24h
Parking inférieur de la M@ison de la formation;P629;Grigny;69096;PRIVE;False;25;0;0;0;2;Libre;Mixte;Gratuit;Ouvert 24h/24h
Parking Opéra-Tolozan;P103;Lyon 1er Arrondissement;69381;SAS Parc Opera;False;315;6;0;;2;Mixte;Mixte;Payant;Ouvert 24h/24h
Mas des entreprises;P9019;Jonage;69279;;;;;;;;;;;
Place Gouailhardou;P238;Caluire-et-Cuire;69034;GRAND LYON;False;22;0;10;0;1;Horaire;Commerciale;Payant;Ouvert 24h/24h
Merle Rouge (ilot des Platanes);P418;Saint-Fons;69199;COMMUNE;False;6;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h
Place André Michel;P734;Saint-Didier-au-Mont-d'Or;69194;GRAND LYON;False;47;0;6;0;1;Libre;Commerciale;Zone bleue;Ouvert 24h/24h
Edmond Chervet;P627;Grigny;69096;GRAND LYON;False;17;0;0;0;2;Libre;Mixte;Gratuit;Ouvert 24h/24h
Eiffel-Schneider;P9011;Meyzieu;69282;;;;;;;;;;;
Basilique de Fourvière;P142;Lyon 5e Arrondissement;69385;COMMUNE;False;38;0;0;0;4;Libre;;Gratuit;Nuit
La Pestorale;P602;Vénissieux;69259;GRAND LYON;False;35;0;0;0;2;Libre;Mixte;Gratuit;Ouvert 24h/24h
Sutin;P506;La Tour-de-Salvagny;69250;COMMUNE;False;30;0;0;0;0;Libre;Evènementielle;Gratuit;Nuit
Vernay;P402;Feyzin;69276;GRAND LYON;False;4;0;0;0;0;Libre;Mixte;Gratuit;Ouvert 24h/24h
